model,id,idp,idr,idf1,mota,motp,num_switches,num_unique_objects
DREEM,Flies13,0.9584666666666667,0.9584666666666667,0.9584666666666667,0.9999333333333332,1.0,0.4,5.2
DREEM,Mice-btc,0.8777929713901806,0.8777929713901806,0.8777929713901806,0.9999520509219368,1.0,4.0,2.0
DREEM,Mice-hc,0.9998031496062992,0.9998031496062992,0.9998031496062992,0.9996062992125984,1.0,2.0,2.0
DREEM,SLAP2m,0.8453786762117458,0.8453786762117458,0.8453786762117458,0.9992174960054925,1.0,16.75,2.0
DREEM,Zebrafish10,0.8774916538863328,0.8774916538863328,0.8774916538863328,0.9986666133226644,1.0,20.0,10.0
SLEAP,Flies13,0.9999333333333332,0.9999333333333332,0.9999333333333332,0.9998666666666667,1.0,0.8,5.2
SLEAP,Mice-btc,0.9425638869132116,0.9425638869132116,0.9425638869132116,0.9998324838705703,1.0,14.0,2.0
SLEAP,Mice-hc,1.0,1.0,1.0,1.0,1.0,0.0,2.0
SLEAP,SLAP2m,0.8296052317016095,0.8296052317016095,0.8296052317016095,0.999175488293049,1.0,15.0,2.0
SLEAP,Zebrafish10,0.9807994287746439,0.9807994287746439,0.9807994287746439,0.9948553377342134,1.0,77.16666666666667,10.0
