seq,HOTA,model,id
slap2m-data-orig-top-10072022131531-0000_h265_CRF30_denoised.mp4.predictions.proofread,1.0,dreem,SLAP2m
slap2m-data-orig-top-10072022134804-0000_h265_CRF30_denoised.mp4.predictions.proofread,1.0,dreem,SLAP2m
slap2m-data-orig-top-10192022175658-0000_h265_CRF30_denoised.mp4.predictions.proofread,0.6032691448572005,dreem,SLAP2m
slap2m-data-orig-top-10302022035407-0000_h265_10bit_CRF30_denoised.mp4.predictions.proofread,0.5926969473325063,dreem,SLAP2m
test-20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560,1.0,dreem,Mice-hc
test-als2h_cohort2_cohort2.220506_093004_Camera0_mov.00001.predictions.proofread,1.0,dreem,Mice-btc
test-als2h_cohort2_cohort2.220507_093004_Camera1_mov.00001.predictions.proofread,1.0,dreem,Mice-btc
test-als2h_cohort2_cohort2.220508_093004_Camera2_mov.00001.predictions.proofread,0.6211454575411823,dreem,Mice-btc
test-eight_flies@180000-200000_sample_0_16704_19204,1.0,dreem,Flies13
test-eight_flies@180000-200000_sample_0_6887_9387,1.0,dreem,Flies13
test-four_flies@1000-11000_sample_0_3465_4965,1.0,dreem,Flies13
test-four_flies@1000-11000_sample_0_8397_9897,1.0,dreem,Flies13
test-train_labels.group1.centroids_sample_1_17032_18532,0.9751241516587708,dreem,Zebrafish10
test-train_labels.group1.centroids_sample_1_6952_8452,0.922883793619804,dreem,Zebrafish10
test-train_labels.group2.centroids_sample_0_16148_17648,0.9071373787684412,dreem,Zebrafish10
test-train_labels.group2.centroids_sample_0_6738_8238,0.7734851699858124,dreem,Zebrafish10
test-val_labels.group3.centroids_sample_2_16736_18236,0.809877743735021,dreem,Zebrafish10
test-val_labels.group3.centroids_sample_2_7027_8527,0.6586093303444273,dreem,Zebrafish10
two_flies-small-190719_090330_wt_18159206_rig1.2@15000-17560,1.0,dreem,Flies13
slap2m-data-orig-top-10072022131531-0000_h265_CRF30_denoised.mp4.predictions.proofread,0.8766576066369057,sleap,SLAP2m
slap2m-data-orig-top-10072022134804-0000_h265_CRF30_denoised.mp4.predictions.proofread,0.9134543464876376,sleap,SLAP2m
slap2m-data-orig-top-10192022175658-0000_h265_CRF30_denoised.mp4.predictions.proofread,0.9408526522084442,sleap,SLAP2m
slap2m-data-orig-top-10302022035407-0000_h265_10bit_CRF30_denoised.mp4.predictions.proofread,0.5776744477915888,sleap,SLAP2m
test-20200111_USVpairs_court1_M1_F1_top-01112020145828-0000@0-2560,1.0,sleap,Mice-hc
test-als2h_cohort2_cohort2.220506_093004_Camera0_mov.00001.predictions.proofread,0.8679170550662775,sleap,Mice-btc
test-als2h_cohort2_cohort2.220507_093004_Camera1_mov.00001.predictions.proofread,1.0,sleap,Mice-btc
test-als2h_cohort2_cohort2.220508_093004_Camera2_mov.00001.predictions.proofread,0.8903838917880255,sleap,Mice-btc
test-eight_flies@180000-200000_sample_0_16704_19204,1.0,sleap,Flies13
test-eight_flies@180000-200000_sample_0_6887_9387,1.0,sleap,Flies13
test-four_flies@1000-11000_sample_0_3465_4965,1.0,sleap,Flies13
test-four_flies@1000-11000_sample_0_8397_9897,1.0,sleap,Flies13
test-train_labels.group1.centroids_sample_1_17032_18532,0.9998001799249392,sleap,Zebrafish10
test-train_labels.group1.centroids_sample_1_6952_8452,0.9912028606864928,sleap,Zebrafish10
test-train_labels.group2.centroids_sample_0_16148_17648,0.929058229557188,sleap,Zebrafish10
test-train_labels.group2.centroids_sample_0_6738_8238,0.9611193674234,sleap,Zebrafish10
test-val_labels.group3.centroids_sample_2_16736_18236,0.9800415657878584,sleap,Zebrafish10
test-val_labels.group3.centroids_sample_2_7027_8527,0.9749275478198324,sleap,Zebrafish10
two_flies-small-190719_090330_wt_18159206_rig1.2@15000-17560,1.0,sleap,Flies13
