test_num_instances,frames,model,variable,value
3,18219,DREEM,count,2.0
3,18219,DREEM,count,4.0
3,18082,DREEM,count,6.0
3,18082,DREEM,count,12.0
4,18255,DREEM,count,34.0
4,18255,DREEM,count,10.0
4,19142,DREEM,count,12.0
4,19142,DREEM,count,10.0
2,30691,DREEM,count,2.0
2,30691,DREEM,count,0.0
2,30691,DREEM,count,0.0
2,30691,DREEM,count,0.0
3,18219,SLEAP,count,10.0
3,18219,SLEAP,count,12.0
3,18082,SLEAP,count,8.0
3,18082,SLEAP,count,7.0
4,18255,SLEAP,count,62.0
4,18255,SLEAP,count,36.0
4,19142,SLEAP,count,24.0
4,19142,SLEAP,count,10.0
2,30691,SLEAP,count,0.0
2,30691,SLEAP,count,6.0
2,30691,SLEAP,count,0.0
2,30691,SLEAP,count,0.0
