n_chunks,variable,value
10,num_switches,10.0
10,num_switches,14.0
10,num_switches,1685.0
10,num_switches,1687.0
10,num_switches,4.0
10,num_switches,2148.0
10,num_switches,18.0
10,num_switches,2165.0
10,num_switches,4.0
10,num_switches,3931.0
10,num_switches,10.0
10,num_switches,4116.0
10,num_switches,64.0
10,num_switches,2137.0
10,num_switches,773.0
10,num_switches,256.0
10,num_switches,10.0
10,num_switches,1737.0
10,num_switches,10.0
10,num_switches,1870.0
10,num_switches,3189.0
10,num_switches,8.0
10,num_switches,1277.0
10,num_switches,12.0
10,num_switches,1784.0
10,num_switches,18.0
10,num_switches,1788.0
10,num_switches,12.0
10,num_switches,10.0
10,num_switches,10.0
10,num_switches,10.0
10,num_switches,1265.0
10,num_switches,12.0
10,num_switches,548.0
10,num_switches,8.0
10,num_switches,369.0
10,num_switches,18.0
10,num_switches,1510.0
10,num_switches,8.0
10,num_switches,354.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,968.0
50,num_switches,0.0
50,num_switches,682.0
50,num_switches,0.0
50,num_switches,0.0
50,num_switches,2915.0
50,num_switches,40.0
50,num_switches,1185.0
50,num_switches,472.0
50,num_switches,40.0
50,num_switches,40.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,0.0
50,num_switches,562.0
50,num_switches,40.0
50,num_switches,802.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,810.0
50,num_switches,679.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,724.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,0.0
50,num_switches,1539.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,90.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,372.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,707.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,40.0
50,num_switches,961.0
50,num_switches,0.0
50,num_switches,839.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,2828.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,651.0
50,num_switches,40.0
50,num_switches,0.0
50,num_switches,862.0
50,num_switches,40.0
50,num_switches,774.0
500,num_switches,617.0
500,num_switches,42.0
500,num_switches,0.0
500,num_switches,50.0
500,num_switches,0.0
500,num_switches,0.0
500,num_switches,578.0
500,num_switches,376.0
500,num_switches,16.0
500,num_switches,2.0
500,num_switches,40.0
500,num_switches,40.0
500,num_switches,4.0
500,num_switches,16.0
500,num_switches,16.0
500,num_switches,0.0
500,num_switches,424.0
500,num_switches,16.0
500,num_switches,424.0
500,num_switches,34.0
500,num_switches,34.0
500,num_switches,4.0
500,num_switches,671.0
500,num_switches,671.0
500,num_switches,8.0
500,num_switches,837.0
500,num_switches,837.0
500,num_switches,4.0
500,num_switches,8.0
500,num_switches,2.0
500,num_switches,0.0
500,num_switches,1188.0
500,num_switches,6.0
500,num_switches,12.0
500,num_switches,388.0
500,num_switches,367.0
500,num_switches,6.0
500,num_switches,194.0
500,num_switches,194.0
500,num_switches,16.0
500,num_switches,394.0
500,num_switches,394.0
500,num_switches,407.0
500,num_switches,1905.0
500,num_switches,1905.0
500,num_switches,8.0
500,num_switches,416.0
500,num_switches,449.0
500,num_switches,12.0
500,num_switches,578.0
500,num_switches,12.0
500,num_switches,1188.0
500,num_switches,10.0
1000,num_switches,12.0
1000,num_switches,24.0
1000,num_switches,10.0
1000,num_switches,8.0
1000,num_switches,4.0
1000,num_switches,10.0
1000,num_switches,8.0
1000,num_switches,0.0
1000,num_switches,4.0
1000,num_switches,2.0
1000,num_switches,10.0
1000,num_switches,6.0
1000,num_switches,4.0
1000,num_switches,6.0
1000,num_switches,20.0
1000,num_switches,4.0
1000,num_switches,4.0
1000,num_switches,6.0
1000,num_switches,4.0
1000,num_switches,10.0
